,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_see,emoji_num,tweet
0,1327134093021229056,2020-11-13 06:19:59,Billura18,,0,0,-0.2,0.0,set(),,0,b'@BBCWillVernon If they set fire means is not their home.u will ever destroy ur home if it belongs to u . Azerbaijan\\u2026 https://t.co/YYsfKryybL'
1,1327134090391396354,2020-11-13 06:19:58,AsifSuria,San Francisco Bay Area,0,0,0.0,0.0,set(),,0,b'There is no guarantee this discount to NAV will close anytime soon and over the years I have watched it trade at di\\u2026 https://t.co/wRqzbLez7Q'
2,1327134088969523200,2020-11-13 06:19:58,siniStar7boy,"Plano, TX",0,6674,0.045833333333333316,0.5625,set(),,0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
3,1327134088537518082,2020-11-13 06:19:58,wassmiah_,Here. There. Somewhere...,0,469,0.0,0.0,set(),,0,"b'RT @theninaellaine: In times of doubt, I ask myself if this is the legacy I wanna leave in the world. Do I want to be that woman who spoke\\u2026'"
4,1327134087237279744,2020-11-13 06:19:58,AriyoAristotle,"Abuja, Nigeria",0,11,0.0,0.0,set(),,0,"b""RT @Segunmimiko: Mallam Balarabe Musa's commitment towards making Nigeria an egalitarian society will continue to be a reference point for\\u2026"""
5,1327134085064650752,2020-11-13 06:19:57,er3shk1gal,"St. Paul, MN",0,3,-0.15,0.4,set(),,0,"b'RT @mannerminded: DAY 5: FLOWERS/DARK SIDE\\n\\n""I\'m the Warrior now,"" Fray corrects. ""A mortal fool, sent about by nations like a courier to f\\u2026'"
6,1327134083714076675,2020-11-13 06:19:57,iceadvices,Fishtown,0,3204,0.5,1.0,set(),,0,"b'RT @KHayhoe: When it comes to what climate goals we should be aiming for, there are a lot of ""magic numbers"" floating around - 2 degrees, 1\\u2026'"
7,1327134083688902659,2020-11-13 06:19:57,albert70x7,"British Columbia, Canada",0,2,-0.044444444444444446,0.3666666666666667,set(),,0,b'RT @moltmannjuergen: But there is a third form of suffering: active suffering - the voluntary laying oneself open to another and allowing o\\u2026'
8,1327134083214958595,2020-11-13 06:19:57,Thala_Virat18,இருக்கேன்,0,338,0.6,0.6,set(),,0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
9,1327134081860169729,2020-11-13 06:19:56,SMOKEYFORMBY,,0,403,0.13636363636363635,0.45454545454545453,"{'🎅', '🎄'}",:santa: :christmas_tree:,4,"b'RT @bakerdays: \\U0001f385\\U0001f384It\\u2019s time for a festive #giveaway!!!\\U0001f384\\U0001f385\\n \\nIn celebration of our brand new Christmas Brownies and fruit cake squares, here\\u2019s\\u2026'"
10,1327134080811601920,2020-11-13 06:19:56,kryzheljanicaa_,,0,280,0.0,0.0,set(),,0,b'RT @cheesecakekpn: The construction of Kaliwa Dam is a prime example of why environmental issues should always be raised and linked to the\\u2026'
11,1327134078349545472,2020-11-13 06:19:55,LadyRoheryn,,0,91,-0.09642857142857143,0.19285714285714287,set(),,0,b'RT @IanSquareCactus: My mother is in a nursing home with severe dementia. She is bed bound and has very limited mental capacity.\\n\\nI know al\\u2026'
12,1327134076550209542,2020-11-13 06:19:55,Freediver_Doris,"Planet Earth, underwater",0,6978,0.0,0.0,set(),,0,"b""RT @donwinslow: STAY AWAY FROM THE MAGA MARCH BULLSHIT.\\n\\nWe don't need to be there.\\n\\nWe don't want to be there.\\n\\nAnd if we're there they ar\\u2026"""
13,1327134075447087107,2020-11-13 06:19:55,danmaliyo17,,0,2,-0.1733333333333333,0.4666666666666667,set(),,0,"b""RT @MAYORCOOLEY: I'm a slower to anger kind of man, but this ignorance is infuriating. Being Black in America means you must cross all i's\\u2026"""
14,1327134074184617984,2020-11-13 06:19:54,walkingtoTaylor,Southeast Asia,0,61,0.0,0.0,{'🚨'},:rotating_light:,1,"b'RT @lancefolkwhore: \\U0001f6a8 Paul Mccartney and Taylor Swift are rumored to be in a collaboration for a song called ""Wicked Memories"" after the sa\\u2026'"
15,1327134071160532999,2020-11-13 06:19:54,Argellian1,Uk,0,0,0.05000000000000002,0.5,set(),,0,"b""@NormanBrennan @PoliceChiefs PCC's, woke police chiefs and a general politicisation of the police has been a core f\\u2026 https://t.co/cVDntl0CwG"""
16,1327134069726048259,2020-11-13 06:19:53,joverlii,,0,1132,0.175,0.21666666666666667,set(),,0,"b'RT @enadkk: Hoy mga DDS!! Nobody is saying it\\u2019s DU30\\u2019S fault there\\u2019s a typhoon!! As THE president, he should be the first to take action on\\u2026'"
17,1327134065733013504,2020-11-13 06:19:52,bytedeveloper_,127.0.0.1,0,1005,0.0,0.4,set(),,0,"b'RT @OlukorodeOre: Hey guys!!!!!\\n\\nI\\u2019m currently applying to be a Barter Flutterwave Student Amabassador and your Likes, Retweets and Comment\\u2026'"
18,1327134062469910530,2020-11-13 06:19:52,Liberation_PHL,"Philadelphia, PA",0,1,0.0,0.0,set(),,0,"b'RT @comradekelley: adding that you dont have to be a maoist to join ftp, a lot of their work is on the ground and non sectarian iirc https:\\u2026'"
19,1327134062465658880,2020-11-13 06:19:52,theTheoNottt,Admin she/her,0,9,0.06666666666666667,0.23333333333333336,set(),,0,"b""RT @MoonsJLupin: Please don't be silent, please continue to spread around links and educate yourselves.\\n\\nA 15 year old, that's how young he\\u2026"""
20,1327134061995958272,2020-11-13 06:19:51,Sidophat1,"Ikeja, Nigeria",0,6,0.7,0.9,set(),,0,"b""RT @victorVeec: On Spirit FM's morning show today, King of radio and Ojay host the talented @WilberKasaaleUg - a gospel artist.\\n\\nHe talks a\\u2026"""
21,1327134060863508481,2020-11-13 06:19:51,nninginggg,,0,4690,0.3,1.0,set(),,0,"b""RT @SMTOWNGLOBAL: #aespa's debut song #BlackMamba to be a powerful dance song about aespa\\u2019s universe\\n\\nCatchy spell-like hook\\n\\nStory of adve\\u2026"""
22,1327134059164819459,2020-11-13 06:19:51,CherryDank,I Should Be In Your Bed,0,0,0.25,0.25,set(),,0,b'Ok so like the back of my house has to be a freaking portal... and every once in a while you\\u2019ll have a paranormal e\\u2026 https://t.co/w7FXH060MF'
23,1327134058724388867,2020-11-13 06:19:51,dreamcloudly,northern hemisphere✈️🌎,0,15,0.1,0.2,set(),,0,"b'RT @rnarissasa: I just registered and did a swab kit to be a stem cell donor, after seeing a post on here about a filipino 9 month old baby\\u2026'"
24,1327134055201202183,2020-11-13 06:19:50,OsaGloria1,,0,0,-0.2,0.4,set(),,0,b'@Prophet_elvis And I understood when the scripture says it\\u2019s a deadly thing when one falls into the hands of God \\nN\\u2026 https://t.co/6aBuvWwiyx'
25,1327134054869848067,2020-11-13 06:19:50,pgrandee10,United States,0,315,0.16,0.5399999999999999,set(),,0,"b""RT @joelockhart: All the speculation about @realDonaldTrump running again in 2024 forgets there is a high probability he'll be indicted in\\u2026"""
26,1327134053259239426,2020-11-13 06:19:49,fuzzydogdog,"He/Him, Bay Area",0,0,-0.016666666666666666,0.3,set(),,0,b'@ultralightbeam yeah it definitely seemed like red was going to be the long term survivor of the two. i never got i\\u2026 https://t.co/z6zG6LVqe5'
27,1327134050860011521,2020-11-13 06:19:49,PrakruthiN01,,0,128,0.10000000000000002,0.3833333333333333,set(),,0,"b""RT @BETTER0TB: it's been on my tl today so just to clear things up, liam payne is a solo artist. he used to be in a band called one directi\\u2026"""
28,1327134048582590466,2020-11-13 06:19:48,capmooncutie,,0,3,0.0,0.0,set(),,0,"b'RT @sailorstar222: Manifestation thread for the signs\\n\\nA breakdown of what you should be focusing on or releasing \\nApplies to Sun, Moon, Ri\\u2026'"
29,1327134047160709127,2020-11-13 06:19:48,ace_choi_,🇵🇭,0,203,0.07323232323232323,0.3181818181818182,set(),,0,"b'RT @heeseungcokr: BigHit labels plans to move into a new building in Yongsan (YTC) in the first half of 2021. \\n\\noffice for staffs, dance pr\\u2026'"
30,1327134043897556993,2020-11-13 06:19:47,Ramcharan74,"Karnataka Bengaluru, India",0,338,0.6,0.6,set(),,0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
31,1327134041179623424,2020-11-13 06:19:47,10elesger63,,0,1964,0.6000000000000001,0.725,set(),,0,b'RT @presidentaz: I am fortunate to have fulfilled a father\\u2019s will. We liberated Shusha! This is a great victory! Today may the soul of Nati\\u2026'
32,1327134040424636416,2020-11-13 06:19:46,JoshSchwartzy,United States ,0,0,0.1,0.325,set(),,0,b'@MonicaDuran24 Today has been a long and eye opening day. Are you aware of the reality of what is going on in your\\u2026 https://t.co/R8oiOeicHC'
33,1327134037308289024,2020-11-13 06:19:46,LegendaryMusman,"Pretoria, Azania",0,531,-0.16666666666666666,0.43333333333333335,set(),,0,b'RT @interrec: Message to all black consumers in S.A.. Plse support SANCO in the march to the Union Building on 25th. I have forwarded all d\\u2026'
34,1327134036989530112,2020-11-13 06:19:46,Johnath28872600,"Knoxville, TN",0,3686,0.3166666666666667,0.3666666666666667,set(),,0,b'RT @Calfreezy: Well done to those who found the hidden message in my video! Time for a giveaway to celebrate...\\n\\nTo win an Xbox Series X an\\u2026'
35,1327134036180033536,2020-11-13 06:19:45,mitsooki,United States,0,54,0.3660714285714286,0.7857142857142857,set(),,0,"b""RT @hyuckiethereal: even if it's just the name of a platform or what, fandom names are supposed to be special and unique to a group &amp; their\\u2026"""
36,1327134035982897155,2020-11-13 06:19:45,j_musisi,,0,6674,0.045833333333333316,0.5625,set(),,0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
37,1327134034389069825,2020-11-13 06:19:45,taehyung140207,she/her ♡,0,128,0.10000000000000002,0.3833333333333333,set(),,0,"b""RT @BETTER0TB: it's been on my tl today so just to clear things up, liam payne is a solo artist. he used to be in a band called one directi\\u2026"""
38,1327134032942018560,2020-11-13 06:19:45,agathads_,▽,0,118,0.0,0.0,set(),,0,"b'RT @TASHA_MVMT: As students and teachers recover from the typhoon, TASHA Movement demands schools, including STCQC, to be considerate of th\\u2026'"
39,1327134032451297280,2020-11-13 06:19:44,AlexCCutie,"Palm Beach, FL🌊",0,6978,0.0,0.0,set(),,0,"b""RT @donwinslow: STAY AWAY FROM THE MAGA MARCH BULLSHIT.\\n\\nWe don't need to be there.\\n\\nWe don't want to be there.\\n\\nAnd if we're there they ar\\u2026"""
40,1327134031356583937,2020-11-13 06:19:44,r_calderon77,Chillán,0,7426,0.0,0.0,set(),,0,"b""RT @BernieSanders: No, Secretary Pompeo. There won't be a transition to a second Trump term. The race has been called. Joe Biden will be ou\\u2026"""
41,1327134031088148482,2020-11-13 06:19:44,fsartirana,,0,520,-0.30000000000000004,0.2,set(),,0,"b""RT @Tsihanouskaya: My heart is broken. I want to address the mother of Raman Bandarenka, who was killed today by Lukashenka's bandits: your\\u2026"""
42,1327134019960655872,2020-11-13 06:19:41,stephaniebanked,"Boston, MA",0,12447,0.2,0.30000000000000004,set(),,0,b'RT @tatixo__: manifestation and the law of attraction is a real thing. always be the energy you want to attract'
43,1327134016097628160,2020-11-13 06:19:41,georgialady1105,United States,0,6674,0.045833333333333316,0.5625,set(),,0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
44,1327134014835208194,2020-11-13 06:19:40,DindhinZr,Puducherry,0,1190,0.33333333333333337,0.5958333333333333,set(),,0,"b'RT @CaptGopinath: The portrayal of my wife Bhargavi by Aparna was very well etched out , of a woman who had her own mind , strong but soft\\u2026'"
45,1327134014004715521,2020-11-13 06:19:40,naturalzodi,maryland,0,1,-0.6,0.9,set(),,0,b'RT @1800SWIIM: you wanna know whats crazy yall bois.. like deadass.. we are one of those dots.. and this lil square of stars is comparable\\u2026'
46,1327134013769854978,2020-11-13 06:19:40,scdemandred,"Portland, OR",0,14,0.0,0.0,set(),,0,"b'RT @clairewillett: forcing your coworkers to see your genitalia is sufficient unto itself as a reason to be fired immediately, no matter wh\\u2026'"
47,1327134010267602945,2020-11-13 06:19:39,shutyourfatrap,United States,0,0,-0.10833333333333334,0.725,{'😩'},:weary:,1,b'holy shit I just started thinking about all the possible songs we could get if jatp got renewed for s2\\U0001f629a willex due\\u2026 https://t.co/3Yvl9Y7pZk'
48,1327134010254954500,2020-11-13 06:19:39,Surende32430886,Najaf Garh Delhi,0,19,0.5166666666666666,0.6,set(),,0,b'RT @satpal13414: #LifeChangingBookOnDiwali\\n The Way of Living is worthy to be kept in a book house. Reading this will bring happiness and p\\u2026'
49,1327134005980958721,2020-11-13 06:19:38,VijayIsMyLife,Omnipresent,1,0,0.45,0.45,set(),,0,"b""One or two films like #SooraraiPottru will put #Suriya back on the map. And he's an incredible lineup of movies so\\u2026 https://t.co/Cs0DDVauzw"""
50,1327134004441702402,2020-11-13 06:19:38,callmeimsorry,viper club street team / 20,0,0,-0.5,0.5,set(),,0,b'it should be illegal for ceara and i to be alone for 6 hours. \\nwe\\u2019ve\\n1. watched all the jatp bts\\n2. watched all of\\u2026 https://t.co/Ag4scYD1Lh'
51,1327134001455312896,2020-11-13 06:19:37,TheWiggles_jpd,"Dallas-Fort Worth, Texas",0,0,0.1,0.5,set(),,0,"b""@ganbariingo Eating streams definitely is a thing along with food prep. It's all about having a picture ready and d\\u2026 https://t.co/LhXHBBW0Br"""
52,1327134000415174656,2020-11-13 06:19:37,stole_johnguk,대한민국 서울 (She/Her) ,1,0,0.02777777777777778,0.3333333333333333,set(),,0,"b'FIRST WE ARE COMPETING WITH DAKITI, WHICH IS LITERALLY 5 TIMES BIGGER THAN WAP, AND NOW ONE HALF OF WAP DECIDES TO\\u2026 https://t.co/QpFEiZGQHw'"
53,1327133999819526146,2020-11-13 06:19:37,Now_am_in_Exile,He/him,0,61,0.0,0.0,{'🚨'},:rotating_light:,1,"b'RT @lancefolkwhore: \\U0001f6a8 Paul Mccartney and Taylor Swift are rumored to be in a collaboration for a song called ""Wicked Memories"" after the sa\\u2026'"
54,1327133998699704331,2020-11-13 06:19:36,90SMALFOYY,Bisexual! ♡ | 13 ,0,0,-0.2,0.1,set(),,0,"b'Ari\\u2019s asleep rn but i just wanted to say a few things for her birthday and for the 1 month tfa anniversary. Ari, ty\\u2026 https://t.co/zvm7vfdJeI'"
55,1327133996740907010,2020-11-13 06:19:36,DOCJAMBEATS,"Atlanta, GA",0,0,0.1875,0.4375,set(),,0,"b'RT @DOCJAMBEATS: @theestallion THE THING for me that separates Meg from almost  all other top tier emcees in hip hop, is her making school\\u2026'"
56,1327133994325069824,2020-11-13 06:19:35,iam__Ella,Turn on my notification,0,6,0.7,0.9,set(),,0,"b""RT @victorVeec: On Spirit FM's morning show today, King of radio and Ojay host the talented @WilberKasaaleUg - a gospel artist.\\n\\nHe talks a\\u2026"""
57,1327133993909751815,2020-11-13 06:19:35,KuldeepGaurav7,,0,0,0.0,0.0,set(),,0,"b""Let's know India for what it is. No need to indulge in western markers of celebration, even though they may be posi\\u2026 https://t.co/7hOOkm83mz"""
58,1327133992349536259,2020-11-13 06:19:35,tanna_tasha,,0,76,0.31363636363636366,0.7227272727272727,set(),,0,"b'RT @hkaur0353: Focus on an ocean of positives, not a puddle of negatives. The world needs huge positive energy to fight against the negativ\\u2026'"
59,1327133991661613056,2020-11-13 06:19:35,PadmaSheela2,,0,338,0.6,0.6,set(),,0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
60,1327133990210375681,2020-11-13 06:19:34,BadmahnPhizzy,Nigeria ,0,1,0.5,0.55,set(),,0,"b'RT @PapaRiri4: I know a lot of Holier and Righteous People deserve a better life than the one I\\u2019m enjoying but Oritse, grant me the strengt\\u2026'"
61,1327133988578791425,2020-11-13 06:19:34,WillHeSing,Wonder as I wander,0,0,0.8,0.75,set(),,0,"b'""Blessed be the God and Father of our Lord Jesus Christ! According to his great mercy, he has caused us to be born\\u2026 https://t.co/yRW8PMs55L'"
62,1327133987811299332,2020-11-13 06:19:34,Izzfizz101Izzy,,0,0,0.04444444444444443,0.6444444444444445,set(),,0,b'@RitaPanahi There is so much to say here...a racist post would be too easy and wrong..but I hope this isn\\u2019t at the\\u2026 https://t.co/4TfKNt4fsD'
