,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_see,emoji_num,tweet
0,1327131441239650305,2020-11-13 06:09:27,Jaibabu___,,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
1,1327131441092849664,2020-11-13 06:09:27,BBQBones70,,0,2554,0.0,0.0,set(),set(),0,"b""RT @joelockhart: Here's my prediction for how @realDonaldTrump slinks away. He and family go to Mar A Lago for Thanksgiving and he continue\\u2026"""
2,1327131438890807296,2020-11-13 06:09:26,KarthiMururgan,"Tirunelveli, India",0,1117,0.33333333333333337,0.5958333333333333,set(),set(),0,"b'RT @CaptGopinath: The portrayal of my wife Bhargavi by Aparna was very well etched out , of a woman who had her own mind , strong but soft\\u2026'"
3,1327131434998501381,2020-11-13 06:09:25,vaneegroo, tx ,0,5,0.13636363636363635,0.45454545454545453,set(),set(),0,b'RT @carmengroo: hi friends! I opened this account on IG to sell some of my new and used clothes! it\\u2019s @/soldbyycarmen! it\\u2019s still a work in\\u2026'
4,1327131432456740865,2020-11-13 06:09:25,AayilaraQ,"Ikorodu, Nigeria",0,996,0.0,0.4,set(),set(),0,"b'RT @OlukorodeOre: Hey guys!!!!!\\n\\nI\\u2019m currently applying to be a Barter Flutterwave Student Amabassador and your Likes, Retweets and Comment\\u2026'"
5,1327131429961158657,2020-11-13 06:09:24,_tunejunkE,"Florida, USA",0,3953,0.1,0.1,set(),set(),0,b'RT @Alec_Mazo: Just a thought: there is no historical comparable to this election. Anyone saying the margins are too much to overcome don\\u2019t\\u2026'
6,1327131428505743360,2020-11-13 06:09:24,RodgerC18,"Tennessee, USA",0,6919,0.0,0.0,set(),set(),0,"b""RT @donwinslow: STAY AWAY FROM THE MAGA MARCH BULLSHIT.\\n\\nWe don't need to be there.\\n\\nWe don't want to be there.\\n\\nAnd if we're there they ar\\u2026"""
7,1327131428090482688,2020-11-13 06:09:24,SuzanneMWolfe,"Seattle, WA",0,52,0.0,0.0,set(),set(),0,b'RT @TrimontiumTrust: An Eternal Friendship? This fragment of a #Roman fresco in the \\n@GettyMuseum collection shows two Roman women.  It dat\\u2026'
8,1327131427394162694,2020-11-13 06:09:23,j_dubbleya,"Utah, USA",0,0,-0.05,0.4,set(),set(),0,"b'I don\\u2019t know how long Ghost Adventures will be around, I hope it\\u2019s for years to come. But one thing I do know is th\\u2026 https://t.co/O5ivIf2tAP'"
9,1327131422516195328,2020-11-13 06:09:22,LoyTeam,"Wien, Österreich",0,3195,0.5,1.0,set(),set(),0,"b'RT @KHayhoe: When it comes to what climate goals we should be aiming for, there are a lot of ""magic numbers"" floating around - 2 degrees, 1\\u2026'"
10,1327131421526417416,2020-11-13 06:09:22,Kittyoshea78,"Sebastopol, CA",0,6596,0.045833333333333316,0.5625,set(),set(),0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
11,1327131421471875074,2020-11-13 06:09:22,RMarLim,,0,6919,0.0,0.0,set(),set(),0,"b""RT @donwinslow: STAY AWAY FROM THE MAGA MARCH BULLSHIT.\\n\\nWe don't need to be there.\\n\\nWe don't want to be there.\\n\\nAnd if we're there they ar\\u2026"""
12,1327131420083490817,2020-11-13 06:09:22,vexedneighbor,,0,1,0.3,0.6666666666666666,set(),set(),0,"b'RT @GOW_Jigzen: #bnha291 Okay, so after seeing some spoilers of the chapter, im more curious about how Toya became Dabi, because after what\\u2026'"
13,1327131420041613312,2020-11-13 06:09:22,sush_abhi111,"Bangalore, India ",0,1117,0.33333333333333337,0.5958333333333333,set(),set(),0,"b'RT @CaptGopinath: The portrayal of my wife Bhargavi by Aparna was very well etched out , of a woman who had her own mind , strong but soft\\u2026'"
